image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test1,17,depth,,,,6.0,10.0,0.6,
test1,17,monte_carlo,,,,9.0,10.0,0.9,
test1,17,mcts,,,,6.0,10.0,0.6,
test1,17,expectimax,,,,8.0,10.0,0.8,
test1,17,softmax,,,,7.0,10.0,0.7,
test1,18,depth,14.0,True,,,,,
test1,18,monte_carlo,13.0,True,,,,,
test1,18,mcts,16.0,True,,,,,
test1,18,expectimax,16.0,True,,,,,
test1,18,softmax,14.0,True,,,,,
test1,18,ensemble,15.0,True,,,,,
test1,18,depth,,,,10.0,13.0,0.7692307692307693,
test1,18,monte_carlo,,,,10.0,13.0,0.7692307692307693,
test1,18,mcts,,,,7.0,13.0,0.5384615384615384,
test1,18,expectimax,,,,8.0,13.0,0.6153846153846154,
test1,18,softmax,,,,10.0,13.0,0.7692307692307693,
test1,19,depth,18.0,True,,,,,
test1,19,monte_carlo,23.0,True,,,,,
test1,19,mcts,18.0,True,,,,,
test1,19,expectimax,17.0,True,,,,,
test1,19,softmax,21.0,True,,,,,
test1,19,ensemble,21.0,True,,,,,
test1,19,depth,,,,9.0,16.0,0.5625,
test1,19,monte_carlo,,,,10.0,16.0,0.625,
test1,19,mcts,,,,6.0,16.0,0.375,
test1,19,expectimax,,,,12.0,16.0,0.75,
test1,19,softmax,,,,11.0,16.0,0.6875,
test1,20,depth,15.0,True,,,,,
test1,20,monte_carlo,16.0,True,,,,,
test1,20,mcts,14.0,True,,,,,
test1,20,expectimax,11.0,True,,,,,
test1,20,softmax,22.0,True,,,,,
test1,20,ensemble,20.0,True,,,,,
test1,20,depth,,,,12.0,18.0,0.6666666666666666,
test1,20,monte_carlo,,,,13.0,18.0,0.7222222222222222,
test1,20,mcts,,,,9.0,18.0,0.5,
test1,20,expectimax,,,,13.0,18.0,0.7222222222222222,
test1,20,softmax,,,,13.0,18.0,0.7222222222222222,
test2,1,depth,8.0,True,,,,,
test2,1,monte_carlo,28.0,False,,,,,
test2,1,mcts,12.0,True,,,,,
test2,1,expectimax,6.0,True,,,,,
test2,1,softmax,20.0,True,,,,,
test2,1,ensemble,9.0,True,,,,,
test2,1,depth,,,,6.0,7.0,0.8571428571428571,
test2,1,monte_carlo,,,,6.0,7.0,0.8571428571428571,
test2,1,mcts,,,,5.0,7.0,0.7142857142857143,
test2,1,expectimax,,,,5.0,7.0,0.7142857142857143,
test2,1,softmax,,,,5.0,7.0,0.7142857142857143,
test2,2,depth,28.0,False,,,,,
test2,2,monte_carlo,28.0,False,,,,,
test2,2,mcts,6.0,True,,,,,
test2,2,expectimax,28.0,False,,,,,
test2,2,softmax,6.0,True,,,,,
test2,2,ensemble,8.0,True,,,,,
test2,2,depth,,,,7.0,8.0,0.875,
test2,2,monte_carlo,,,,6.0,8.0,0.75,
test2,2,mcts,,,,4.0,8.0,0.5,
test2,2,expectimax,,,,5.0,8.0,0.625,
test2,2,softmax,,,,5.0,8.0,0.625,
test2,3,depth,10.0,True,,,,,
test2,3,monte_carlo,13.0,True,,,,,
test2,3,mcts,8.0,True,,,,,
test2,3,expectimax,10.0,True,,,,,
test2,3,softmax,15.0,True,,,,,
test2,3,ensemble,16.0,True,,,,,
test2,3,depth,,,,10.0,13.0,0.7692307692307693,
test2,3,monte_carlo,,,,13.0,13.0,1.0,
test2,3,mcts,,,,5.0,13.0,0.38461538461538464,
test2,3,expectimax,,,,13.0,13.0,1.0,
test2,3,softmax,,,,8.0,13.0,0.6153846153846154,
test2,4,depth,11.0,True,,,,,
test2,4,monte_carlo,20.0,True,,,,,
test2,4,mcts,7.0,True,,,,,
test2,4,expectimax,27.0,True,,,,,
test2,4,softmax,28.0,False,,,,,
test2,4,ensemble,13.0,True,,,,,
test2,4,depth,,,,7.0,12.0,0.5833333333333334,
test2,4,monte_carlo,,,,9.0,12.0,0.75,
test2,4,mcts,,,,7.0,12.0,0.5833333333333334,
test2,4,expectimax,,,,11.0,12.0,0.9166666666666666,
test2,4,softmax,,,,3.0,12.0,0.25,
test2,5,depth,13.0,True,,,,,
test2,5,monte_carlo,28.0,False,,,,,
test2,5,mcts,11.0,True,,,,,
test2,5,expectimax,25.0,True,,,,,
test2,5,softmax,28.0,False,,,,,
test2,5,ensemble,20.0,True,,,,,
test2,5,depth,,,,12.0,17.0,0.7058823529411765,
test2,5,monte_carlo,,,,14.0,17.0,0.8235294117647058,
test2,5,mcts,,,,8.0,17.0,0.47058823529411764,
test2,5,expectimax,,,,15.0,17.0,0.8823529411764706,
test2,5,softmax,,,,9.0,17.0,0.5294117647058824,
test2,6,depth,22.0,True,,,,,
test2,6,monte_carlo,23.0,True,,,,,
test2,6,mcts,8.0,True,,,,,
test2,6,expectimax,12.0,True,,,,,
test2,6,softmax,28.0,False,,,,,
test2,6,ensemble,19.0,True,,,,,
test2,6,depth,,,,12.0,17.0,0.7058823529411765,
test2,6,monte_carlo,,,,11.0,17.0,0.6470588235294118,
test2,6,mcts,,,,8.0,17.0,0.47058823529411764,
test2,6,expectimax,,,,14.0,17.0,0.8235294117647058,
test2,6,softmax,,,,9.0,17.0,0.5294117647058824,
